epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2627.78,0.68106,0.42429,0.89482,0.98102,0.97623,0.98406,0.71168,1.00424,0.39962,0.98575,3.06676e-05,3.06676e-05,3.06676e-05
85,2658.88,0.67099,0.41383,0.88813,0.98298,0.97421,0.98426,0.71275,1.01059,0.39908,0.98557,2.89648e-05,2.89648e-05,2.89648e-05
86,2690.08,0.67196,0.4205,0.89178,0.9819,0.97526,0.98486,0.70975,1.02128,0.39879,0.98592,2.7262e-05,2.7262e-05,2.7262e-05
87,2721.68,0.65935,0.40905,0.88237,0.98286,0.9758,0.98493,0.71019,1.01672,0.39962,0.98729,2.55592e-05,2.55592e-05,2.55592e-05
88,2752.96,0.65891,0.41877,0.88658,0.98826,0.96833,0.98465,0.71043,1.01645,0.39637,0.98861,2.38564e-05,2.38564e-05,2.38564e-05
89,2784.35,0.65549,0.40256,0.88284,0.98676,0.97023,0.98452,0.70719,1.02605,0.39675,0.99073,2.21536e-05,2.21536e-05,2.21536e-05
90,2815.64,0.6577,0.4121,0.88239,0.98645,0.97039,0.9845,0.7111,1.01032,0.39475,0.98706,2.04508e-05,2.04508e-05,2.04508e-05
91,2874.83,0.65909,0.34336,0.90873,0.98638,0.9708,0.98444,0.70457,1.03196,0.40101,0.99746,1.8748e-05,1.8748e-05,1.8748e-05
92,2906.03,0.63442,0.3383,0.89978,0.98627,0.97277,0.98491,0.7059,1.02553,0.39968,0.99325,1.70452e-05,1.70452e-05,1.70452e-05
93,2937.35,0.62966,0.33174,0.89966,0.98624,0.97213,0.98479,0.70603,1.02303,0.39955,0.99345,1.53424e-05,1.53424e-05,1.53424e-05
94,2968.67,0.603,0.32513,0.88696,0.98683,0.97034,0.98451,0.70355,1.02831,0.40355,0.99643,1.36396e-05,1.36396e-05,1.36396e-05
95,2999.91,0.60273,0.32191,0.88462,0.98684,0.97049,0.98435,0.70727,1.02169,0.40002,0.99368,1.19368e-05,1.19368e-05,1.19368e-05
96,3031.04,0.59878,0.31895,0.88734,0.98568,0.97221,0.98496,0.70594,1.03115,0.40382,0.997,1.0234e-05,1.0234e-05,1.0234e-05
97,3062.17,0.58782,0.31821,0.88281,0.9856,0.97204,0.98465,0.70776,1.0248,0.40118,0.99557,8.5312e-06,8.5312e-06,8.5312e-06
98,3093.33,0.57569,0.31065,0.87882,0.98761,0.97059,0.98452,0.70699,1.02287,0.39961,0.99557,6.8284e-06,6.8284e-06,6.8284e-06
99,3124.58,0.58185,0.31838,0.87891,0.98695,0.97135,0.98471,0.7075,1.0265,0.39834,0.99755,5.1256e-06,5.1256e-06,5.1256e-06
100,3155.77,0.57053,0.31694,0.87815,0.98632,0.97176,0.98486,0.70744,1.02461,0.40137,0.99686,3.4228e-06,3.4228e-06,3.4228e-06
