epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,7413.64,0.49389,0.32174,0.84768,0.99247,0.97669,0.98703,0.71728,0.99669,0.36723,1.00625,6.50642e-05,6.50642e-05,6.50642e-05
159,7459.9,0.49202,0.31591,0.84432,0.99049,0.97621,0.98748,0.72022,0.99315,0.36765,1.00443,6.4383e-05,6.4383e-05,6.4383e-05
160,7506.29,0.48313,0.30596,0.84571,0.9886,0.97635,0.98706,0.71825,1.00278,0.37477,1.00892,6.37019e-05,6.37019e-05,6.37019e-05
161,7552.9,0.48884,0.31079,0.8448,0.9905,0.9758,0.98771,0.71743,1.00169,0.37217,1.00801,6.30208e-05,6.30208e-05,6.30208e-05
162,7599.73,0.4824,0.31846,0.84244,0.98849,0.97504,0.98607,0.72198,0.98467,0.37192,1.00118,6.23397e-05,6.23397e-05,6.23397e-05
163,7646.44,0.47559,0.31052,0.84069,0.98893,0.9755,0.98673,0.72124,0.98409,0.36912,1.00533,6.16586e-05,6.16586e-05,6.16586e-05
164,7693.03,0.47526,0.31177,0.84355,0.98721,0.9769,0.98673,0.72259,0.97515,0.36938,1.00493,6.09774e-05,6.09774e-05,6.09774e-05
165,7739.68,0.47791,0.30692,0.84609,0.99026,0.97529,0.98668,0.72388,0.97776,0.37146,1.01013,6.02963e-05,6.02963e-05,6.02963e-05
166,7786.23,0.47592,0.31377,0.84664,0.98994,0.97622,0.98656,0.72219,0.98284,0.37117,1.00853,5.96152e-05,5.96152e-05,5.96152e-05
167,7832.87,0.47287,0.30892,0.84173,0.99002,0.97705,0.98697,0.72069,0.98742,0.36844,1.00929,5.89341e-05,5.89341e-05,5.89341e-05
168,7879.79,0.47118,0.30956,0.84079,0.98885,0.97725,0.9874,0.71722,1.00091,0.37504,1.01475,5.8253e-05,5.8253e-05,5.8253e-05
169,7926.4,0.46439,0.30977,0.83823,0.99147,0.97566,0.98584,0.71946,0.99047,0.3694,1.01445,5.75718e-05,5.75718e-05,5.75718e-05
170,7973.1,0.46201,0.30645,0.83805,0.98982,0.97697,0.98558,0.71986,0.98928,0.37177,1.01772,5.68907e-05,5.68907e-05,5.68907e-05
171,8019.77,0.46649,0.3013,0.83931,0.989,0.97305,0.98583,0.71909,0.99239,0.3732,1.01876,5.62096e-05,5.62096e-05,5.62096e-05
172,8066.5,0.45862,0.29836,0.83323,0.99126,0.97513,0.98731,0.72153,0.99483,0.37059,1.01378,5.55285e-05,5.55285e-05,5.55285e-05
173,8113.47,0.45115,0.2935,0.83357,0.99179,0.97591,0.98794,0.72096,0.99783,0.36641,1.01451,5.48474e-05,5.48474e-05,5.48474e-05
